,titles,year,imdb_ratings,text_muted1,text_muted2,text_muted3,meta_scores,director,stars
5190,FernGully: The Last Rainforest,(1992),6.5,"
76 min
|

Animation, Adventure, Family            
","
The magical inhabitants of a rainforest fight to save their home, which is threatened by logging and a polluting force of destruction called Hexxus.","
Votes:
30,755
| Gross:
$24.65M
",67        ,['Bill Kroyer'],"['Samantha Mathis', 'Christian Slater', 'Robin Williams', 'Tim Curry']"
5191,White Palace,(1990),6.5,"
103 min
|

Drama, Romance            
","
Lust turns to love for a 40-ish working-class woman and a 20-ish yuppie adman with little in common.","
Votes:
8,336
| Gross:
$17.49M
",66        ,['Luis Mandoki'],"['Susan Sarandon', 'James Spader', 'Jason Alexander', 'Kathy Bates']"
5192,Shattered,(1991),6.5,"
R
|
98 min
|

Crime, Drama, Mystery            
","
After a horrific car wreck leaves him an amnesiac, a man slowly begins to unravel his shocking past.","
Votes:
10,293
| Gross:
$11.51M
",,['Wolfgang Petersen'],"['Tom Berenger', 'Bob Hoskins', 'Greta Scacchi', 'Joanne Whalley']"
5193,The Rocketeer,(1991),6.5,"
108 min
|

Action, Adventure, Family            
","
A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.","
Votes:
58,183
| Gross:
$46.70M
",61        ,['Joe Johnston'],"['Billy Campbell', 'Jennifer Connelly', 'Alan Arkin', 'Timothy Dalton']"
5194,Oscar,(1991),6.5,"
109 min
|

Comedy, Crime            
","
A gangster attempts to keep the promise he made to his dying father: that he would give up his life of crime and ""go straight"".","
Votes:
32,330
| Gross:
$23.56M
",47        ,['John Landis'],"['Sylvester Stallone', 'Ornella Muti', 'Peter Riegert', 'Chazz Palminteri']"
5195,Guilty by Suspicion,(1991),6.5,"
105 min
|

Drama            
","
Returning to Hollywood 1951 after working in France, a movie director meets McCarthyism head-on.","
Votes:
8,675
| Gross:
$9.48M
",64        ,['Irwin Winkler'],"['Robert De Niro', 'Annette Bening', 'George Wendt', 'Patricia Wettig']"
5196,Father of the Bride,(1991),6.5,"
105 min
|

Comedy, Family, Romance            
","
With his oldest daughter's wedding approaching, a father finds himself reluctant to let go.","
Votes:
77,289
| Gross:
$89.33M
",51        ,['Charles Shyer'],"['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley']"
5197,Dutch,(1991),6.5,"
107 min
|

Comedy, Drama            
","
To get to know his girlfriend's son, a working-class good guy volunteers to pick him up from his prep school, only to learn that he isn't the nicest young man.","
Votes:
12,896
| Gross:
$4.60M
",,['Peter Faiman'],"[""Ed O'Neill"", 'Ethan Embry', 'JoBeth Williams', 'Christopher McDonald']"
5198,Young Guns II,(1990),6.5,"
104 min
|

Action, Western            
","
In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.","
Votes:
36,477
| Gross:
$44.14M
",47        ,['Geoff Murphy'],"['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips', 'Christian Slater']"
5199,White Hunter Black Heart,(1990),6.5,"
112 min
|

Adventure, Drama            
","
A thinly fictionalized account of a legendary movie director, whose desire to hunt down an animal turns into a grim situation with his movie crew in Africa.","
Votes:
12,456
| Gross:
$2.32M
",66        ,['Clint Eastwood'],"['Clint Eastwood', 'Jeff Fahey', 'Charlotte Cornwell', 'Norman Lumsden']"
5200,Nightbreed,(1990),6.5,"
102 min
|

Action, Fantasy, Horror            
","
A troubled young man is drawn to a mythical place called Midian where a variety of friendly monsters are hiding from humanity. Meanwhile, a sadistic serial killer is looking for a patsy.","
Votes:
23,585
| Gross:
$8.86M
",40        ,['Clive Barker'],"['Craig Sheffer', 'David Cronenberg', 'Anne Bobby', 'Charles Haid']"
5201,Narrow Margin,(1990),6.5,"
97 min
|

Action, Crime, Thriller            
","
A Los Angeles Deputy District Attorney is sent to protect a woman who accidentally witnessed a Mafia murder.","
Votes:
9,390
| Gross:
$10.87M
",53        ,['Peter Hyams'],"['Gene Hackman', 'Anne Archer', 'James Sikking', 'J.T. Walsh']"
5202,Internal Affairs,(1990),6.5,"
115 min
|

Crime, Drama, Thriller            
","
An Internal Affairs agent becomes obsessed with bringing down a cop who has managed to maintain a spotless reputation despite being involved in a web of corruption.","
Votes:
20,528
| Gross:
$27.73M
",63        ,['Mike Figgis'],"['Richard Gere', 'Andy Garcia', 'Nancy Travis', 'Laurie Metcalf']"
5203,Flatliners,(1990),6.5,"
115 min
|

Drama, Horror, Sci-Fi            
","
Five medical students experiment with ""near death"" experiences, until the dark consequences of past tragedies begin to jeopardize their lives.","
Votes:
87,482
| Gross:
$61.49M
",55        ,['Joel Schumacher'],"['Kiefer Sutherland', 'Kevin Bacon', 'Julia Roberts', 'William Baldwin']"
5204,Arachnophobia,(1990),6.5,"
109 min
|

Comedy, Horror, Thriller            
","
A species of South American killer spider hitches a lift to the U.S. in a coffin and starts to breed and kill.","
Votes:
70,365
| Gross:
$53.21M
",67        ,['Frank Marshall'],"['Jeff Daniels', 'Julian Sands', 'John Goodman', 'Harley Jane Kozak']"
5205,Society,(1989),6.5,"
R
|
99 min
|

Comedy, Horror            
","
An ordinary teenage boy discovers his family is part of a gruesome orgy cult for the social elite.","
Votes:
19,025
",,['Brian Yuzna'],"['Billy Warlock', ""Concetta D'Agnese"", 'Ben Slack', 'Evan Richards']"
5206,Pet Sematary,(1989),6.5,"
15
|
103 min
|

Fantasy, Horror, Thriller            
","
After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.","
Votes:
104,831
| Gross:
$57.47M
",38        ,['Mary Lambert'],"['Dale Midkiff', 'Denise Crosby', 'Fred Gwynne', 'Brad Greenquist']"
5207,Fat Man and Little Boy,(1989),6.5,"
127 min
|

Biography, Drama, History            
","
This film reenacts the Manhattan Project, the secret wartime project in New Mexico where the first atomic bombs were designed and built.","
Votes:
7,758
| Gross:
$3.56M
",50        ,['Roland Joffé'],"['Paul Newman', 'Dwight Schultz', 'Bonnie Bedelia', 'John Cusack']"
5208,The Dream Team,(1989),6.5,"
113 min
|

Comedy, Crime, Thriller            
","
Four mental patients on a field trip in New York City must save their caring chaperon, who ends up being taken to a hospital in a coma after accidentally witnessing a murder, before the killers can find him and finish the job.","
Votes:
15,517
| Gross:
$28.89M
",54        ,['Howard Zieff'],"['Michael Keaton', 'Christopher Lloyd', 'Peter Boyle', 'Stephen Furst']"
5209,Elvira: Mistress of the Dark,(1988),6.5,"
96 min
|

Comedy, Horror            
","
Upon arriving in a small town where she has inherited a rundown mansion, a famous horror hostess battles an evil uncle, and townspeople who want her burned at the stake.","
Votes:
18,314
| Gross:
$5.60M
",43        ,['James Signorelli'],"['Cassandra Peterson', 'Phil Rubenstein', 'Larry Flash Jenkins', 'Damita Jo Freeman']"
5210,Brain Damage,(1988),6.5,"
84 min
|

Comedy, Drama, Horror            
","
One morning, a young man wakes to find that a small, disgusting creature has attached itself to the base of his brain stem. The creature gives him a euphoric state of happiness but demands human victims in return.","
Votes:
11,571
",61        ,['Frank Henenlotter'],"['Rick Hearst', 'Gordon MacDonald', 'Jennifer Lowry', 'Theo Barnes']"
5211,The Witches of Eastwick,(1987),6.5,"
118 min
|

Comedy, Fantasy, Horror            
","
Three single women in a picturesque village have their wishes granted, at a cost, when a mysterious and flamboyant man arrives in their lives.","
Votes:
70,569
| Gross:
$63.77M
",67        ,['George Miller'],"['Jack Nicholson', 'Cher', 'Susan Sarandon', 'Michelle Pfeiffer']"
5212,September,(1987),6.5,"
83 min
|

Drama            
","
At a summer house in Vermont, neighbor Howard falls in love with Lane, who's in a relationship with Peter, who's falling for Stephanie, who's married with children.","
Votes:
9,905
| Gross:
$0.49M
",,['Woody Allen'],"['Elaine Stritch', 'Denholm Elliott', 'Mia Farrow', 'Dianne Wiest']"
5213,The Secret of My Success,(1987),6.5,"
111 min
|

Comedy, Romance            
","
A talented young man can't get an executive position without rising through the ranks, so he comes up with a shortcut, which also benefits his love life.","
Votes:
34,232
| Gross:
$67.00M
",36        ,['Herbert Ross'],"['Michael J. Fox', 'Helen Slater', 'Richard Jordan', 'Margaret Whitton']"
5214,The Fourth Protocol,(1987),6.5,"
119 min
|

Thriller            
","
John Preston is a British Agent with the task of preventing the Russians detonating a nuclear explosion next to an American base in the UK. The Russians are hoping this will shatter the ""special relationship"" between the two countries.","
Votes:
10,104
| Gross:
$12.42M
",64        ,['John Mackenzie'],"['Michael Caine', 'Pierce Brosnan', 'Ned Beatty', 'Joanna Cassidy']"
5215,The Big Easy,(1986),6.5,"
102 min
|

Comedy, Crime, Drama            
","
A corrupt lieutenant in the homicide division is threatened by the righteous DA while trying to solve a string of mysterious murders.","
Votes:
13,012
| Gross:
$17.69M
",77        ,['Jim McBride'],"['Dennis Quaid', 'Ellen Barkin', 'Ned Beatty', 'John Goodman']"
5216,Beverly Hills Cop II,(1987),6.5,"
100 min
|

Action, Comedy, Crime            
","
Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of ""alphabet crimes"" associated with it.","
Votes:
120,160
| Gross:
$153.67M
",48        ,['Tony Scott'],"['Eddie Murphy', 'Judge Reinhold', 'Jürgen Prochnow', 'Ronny Cox']"
5217,Bad Taste,(1987),6.5,"
91 min
|

Comedy, Horror, Sci-Fi            
","
The population of a small town disappears and is replaced by aliens that chase human flesh for their intergalactic fast-food chain.","
Votes:
47,198
",52        ,['Peter Jackson'],"['Terry Potter', ""Pete O'Herne"", 'Craig Smith', 'Mike Minett']"
5218,Three Amigos!,(1986),6.5,"
104 min
|

Comedy, Western            
","
Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing.","
Votes:
75,857
| Gross:
$39.25M
",52        ,['John Landis'],"['Steve Martin', 'Chevy Chase', 'Martin Short', 'Alfonso Arau']"
5219,Running Scared,(1986),6.5,"
107 min
|

Action, Comedy, Crime            
","
Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer who nearly killed them in the past.","
Votes:
13,281
| Gross:
$38.50M
",49        ,['Peter Hyams'],"['Gregory Hines', 'Billy Crystal', 'Steven Bauer', 'Darlanne Fluegel']"
5220,Rambo: First Blood Part II,(1985),6.5,"
96 min
|

Action, Adventure, Thriller            
","
Rambo returns to the jungles of Vietnam on a mission to infiltrate an enemy base-camp and rescue the American POWs still held captive there.","
Votes:
169,237
| Gross:
$150.42M
",47        ,['George P. Cosmatos'],"['Sylvester Stallone', 'Richard Crenna', 'Charles Napier', 'Steven Berkoff']"
5221,Just One of the Guys,(1985),6.5,"
100 min
|

Comedy, Romance            
","
Terry feels discriminated against when the summer jobs at the Sun Tribune go to two guys. She decides to do something about it. She dresses like a guy and gets a haircut. Will students at the other high school notice? Girls notice ""him"".","
Votes:
16,188
| Gross:
$11.50M
",57        ,['Lisa Gottlieb'],"['Joyce Hyser', 'Clayton Rohner', 'Billy Jayne', 'Toni Hudson']"
5222,Jagged Edge,(1985),6.5,"
108 min
|

Drama, Mystery, Thriller            
","
A wealthy woman is murdered in her beach house. The husband is allegedly knocked out first. He inherits all. He has a female ex criminal prosecutor represent him in court.","
Votes:
15,461
| Gross:
$40.50M
",60        ,['Richard Marquand'],"['Jeff Bridges', 'Glenn Close', 'Peter Coyote', 'Robert Loggia']"
5223,Brewster's Millions,(1985),6.5,"
102 min
|

Comedy            
","
A minor-league baseball player must spend $30 million in 30 days in order to inherit $300 million. However, he's not allowed to own any assets, destroy the money, gift it, give it to charity, or tell anyone about the deal.","
Votes:
39,707
| Gross:
$38.80M
",37        ,['Walter Hill'],"['Richard Pryor', 'John Candy', 'Lonette McKee', 'Stephen Collins']"
5224,Purple Rain,(1984),6.5,"
111 min
|

Drama, Music, Romance            
","
A young musician, tormented by an abusive situation at home, must contend with a rival singer, a burgeoning romance, and his own dissatisfied band, as his star begins to rise.","
Votes:
21,997
| Gross:
$68.39M
",55        ,['Albert Magnoli'],"['Prince', 'Apollonia Kotero', 'Morris Day', 'Olga Karlatos']"
5225,Moscow on the Hudson,(1984),6.5,"
115 min
|

Comedy, Drama, Romance            
","
A Russian saxophonist visiting New York with a circus troupe suddenly decides to defect from the USSR during a shopping trip to a department store, but he finds adjusting to American life more difficult than he imagined.","
Votes:
12,112
| Gross:
$25.10M
",67        ,['Paul Mazursky'],"['Robin Williams', 'Maria Conchita Alonso', 'Cleavant Derricks', 'Alejandro Rey']"
5226,Johnny Dangerously,(1984),6.5,"
90 min
|

Comedy, Crime            
","
Set in the 1930s, an honest, good-hearted man is forced to turn to a life of crime to finance his neurotic mother's sky-rocketing medical bills.","
Votes:
14,864
",54        ,['Amy Heckerling'],"['Michael Keaton', 'Joe Piscopo', 'Marilu Henner', 'Maureen Stapleton']"
5227,Falling in Love,(1984),6.5,"
106 min
|

Drama, Romance            
","
Although they live married lives, two strangers keep running into each other, starting a friendship that could blossom into so much more.","
Votes:
14,282
| Gross:
$10.60M
",55        ,['Ulu Grosbard'],"['Robert De Niro', 'Meryl Streep', 'Harvey Keitel', 'Jane Kaczmarek']"
5228,The Cotton Club,(1984),6.5,"
129 min
|

Crime, Drama, Music            
","
Meet the jazz musicians, dancers, owner, and guests (like gangster Dutch Schultz) of The Cotton Club in 1928-1930s Harlem.","
Votes:
18,237
| Gross:
$25.93M
",68        ,['Francis Ford Coppola'],"['Richard Gere', 'Gregory Hines', 'Diane Lane', 'Lonette McKee']"
5229,Cloak & Dagger,(1984),6.5,"
101 min
|

Action, Adventure, Crime            
","
A young boy and his imaginary friend end up on the run while in possession of a top-secret spy gadget.","
Votes:
7,703
| Gross:
$9.72M
",64        ,['Richard Franklin'],"['Henry Thomas', 'Dabney Coleman', 'Michael Murphy', 'Christina Nigra']"
5230,Yentl,(1983),6.5,"
133 min
|

Drama, Musical, Romance            
","
A Jewish girl disguises herself as a boy to enter religious training.","
Votes:
14,334
| Gross:
$40.22M
",68        ,['Barbra Streisand'],"['Barbra Streisand', 'Amy Irving', 'Mandy Patinkin', 'Nehemiah Persoff']"
5231,Psycho II,(1983),6.5,"
113 min
|

Crime, Horror, Mystery            
","
After twenty-two years of psychiatric care, Norman Bates attempts to return to a life of solitude, but the specters of his crimes - and his mother - continue to haunt him.","
Votes:
27,642
| Gross:
$34.73M
",54        ,['Richard Franklin'],"['Anthony Perkins', 'Vera Miles', 'Meg Tilly', 'Robert Loggia']"
5232,Octopussy,(1983),6.5,"
131 min
|

Action, Adventure, Thriller            
","
A fake Fabergé egg, and a fellow Agent's death, lead James Bond to uncover an international jewel-smuggling operation, headed by the mysterious Octopussy, being used to disguise a nuclear attack on N.A.T.O. forces.","
Votes:
106,285
| Gross:
$67.90M
",63        ,['John Glen'],"['Roger Moore', 'Maud Adams', 'Louis Jourdan', 'Kristina Wayborn']"
5233,Fire and Ice,(1983),6.5,"
81 min
|

Animation, Adventure, Fantasy            
","
At the end of the ice age, an evil queen and her son are set on conquering the world using magic and warriors. The lone survivor of a crushed village fights back as does the king of Fire Keep.","
Votes:
11,038
| Gross:
$0.76M
",45        ,"['Ralph Bakshi', 'Tom Tataranowicz']","['Randy Norton', 'Cynthia Leake', 'Steve Sandor', 'Sean Hannon']"
